package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
kiwisolver,1.4.4,1.4.4,1.3.2,An efficient C++ implementation of the Cassowary constraint solver,BSD-3-Clause,Anaconda,,,,23595228.0
langcodes,3.3.0,3.3.0,,,,,,,,3188185.0
launchpadlib,1.10.16,,1.10.16,,,,,,,
lazr.restfulclient,0.14.4,,0.14.4,,,,,,,
lazr.uri,1.0.6,,1.0.6,,,,,,,
lazy-loader,0.3,0.2,0.2,,,,,,,2914921.0
libclang,16.0.6,16.0.0,,Development headers and libraries for Clang,Apache-2.0 WITH LLVM-exception,Anaconda,,,,6686962.0
librosa,0.10.0.post2,0.10.0.post2,,,,,Python module for audio and music processing,ISC,PyPI,2189129.0
lightgbm,4.0.0,3.3.2,,,,,LightGBM Python Package,The MIT License (Microsoft),PyPI,6121352.0
linkify-it-py,2.0.2,2.0.2,,Links recognition library with FULL unicode support.,MIT,Anaconda,,,,4656361.0
lit,16.0.6,,16.0.6,,,,,,,3335020.0
llvmlite,0.39.1,0.40.1,,A lightweight LLVM python binding for writing JIT compilers.,BSD-2-Clause,Anaconda,,,,12171004.0
locket,1.0.0,1.0.0,,File-based locks for Python for Linux and Windows,BSD-2-Clause,Anaconda,,,,4063239.0
logical-unification,0.4.6,,,,,,,,,123436.0
lxml,4.9.3,4.9.3,4.8.0,Pythonic binding for the C libraries libxml2 and libxslt.,BSD-3-Clause and GPL-2.0-only and ZPL-2.0 and LicenseRef-ElementTree,Anaconda,,,,64780309.0
markdown-it-py,3.0.0,2.2.0,,"Python port of markdown-it. Markdown parsing, done right!",MIT,Anaconda,,,,24482041.0
matplotlib,3.7.1,3.7.2,3.5.1,Publication quality figures in Python,LicenseRef-PSF-based,Anaconda,,,,31235766.0
matplotlib-inline,0.1.6,0.1.6,0.1.6,Inline Matplotlib backend for Jupyter,BSD-3-Clause,Anaconda,,,,15066920.0
matplotlib-venn,0.11.9,0.11.9,,,,,Functions for plotting area-proportional two- and three-way Venn diagrams in matplotlib.,MIT,PyPI,95159.0
mdit-py-plugins,0.4.0,0.4.0,,Collection of plugins for markdown-it-py,MIT,Anaconda,,,,31661273.0
mdurl,0.1.2,0.1.2,,URL utilities for markdown-it-py parser.,MIT,Anaconda,,,,17859734.0
miniKanren,1.0.3,,,,,,,,,
missingno,0.5.2,0.5.2,,,,,Missing data visualization module for Python.,,PyPI,484241.0
mistune,0.8.4,0.8.4,2.0.5,A sane Markdown parser with useful plugins and renderers.,BSD-3-Clause,Anaconda,,,,14500581.0
